"biaId","name","brands","legalName","identificationNumber","address","city","phones","fax","emails","website","facebook","instagram","linkedin","youtube","categories","companySize","yearFounded","employees","description","workingHours","lat","lng","logoUrl","biaUrl","sourceSubcategory","sourceSubcategoryId","sourceCategory","sourceCategoryId"
"4037","რენა 2008","რენა 2008","","200264604","0119, თბილისი, დიდუბე-ჩუღურეთის რაიონი, ხოშარაულის ქ. 29","","+995595223344","","","","https://www.facebook.com/BIA.BusinessInformationAgency/","","","","დისტრიბუტორები; დილერები; სამშენებლო მასალებით ვაჭრობა (საბითუმო); სამშენებლო მასალებით ვაჭრობა (საცალო)","","","","","ორშაბათი - კვირა: 09:00 - 18:00","","","","https://www.bia.ge/Company/4037","Subcategory 3279","3279","Direct",""
"103571","საქართველოს მომავალი","საქართველოს მომავალი","","443865514","5708, შიდა ქართლი, ხაშურის რაიონი, ცხრამუხა","","+995555971775","","","","https://www.facebook.com/BIA.BusinessInformationAgency/","","","","დისტრიბუტორები; დილერები; უალკოჰოლო სასმელებით ვაჭრობა (საბითუმო); უალკოჰოლო სასმელებით ვაჭრობა (საცალო)","","","","","ორშაბათი - პარასკევი: 10:00 - 18:00","","","","https://www.bia.ge/Company/103571","Subcategory 3279","3279","Direct",""
"13624","ტექნო სახლი","ტექნო სახლი","","417874982","1400, შიდა ქართლი, გორის რაიონი, გორი, გორი-ცხინვალის გზატკეცილი 9","","+995595959588; +995595003438","","","http://www.teqnoshop.ge/","https://www.facebook.com/www.technoshop.ge","","","","დილერები; საყოფაცხოვრებო ტექნიკით ვაჭრობა (საცალო)","","","","","ორშაბათი - კვირა: 10:00 - 18:00","","","","https://www.bia.ge/Company/13624","Subcategory 3279","3279","Direct",""
"98206","უნიკა","უნიკა","","400231968","0104, თბილისი, გლდანი-ნაძალადევის რაიონი, სანავარდოს ქ. 63","","+995599190182","","","","https://www.facebook.com/BIA.BusinessInformationAgency/","","","","დილერები; ელექტროხელსაწყოებით და ელექტროპროდუქციით ვაჭრობა","","","","","ორშაბათი - კვირა: 10:00 - 19:00","","","","https://www.bia.ge/Company/98206","Subcategory 3279","3279","Direct",""
"14577","NEOTEK","ნეოტეკი","","404945084","0114, თბილისი, ისანი-სამგორის რაიონი, კრწანისის ქ. 56","","+995599684006","","","","https://www.facebook.com/BIA.BusinessInformationAgency/","","","","დილერები; კომპიუტერული ტექნიკით და აქსესუარებით ვაჭრობა (საბითუმო); კომპიუტერული ტექნიკით და აქსესუარებით ვაჭრობა (საცალო); ციფრული ტექნიკით ვაჭრობა; საყოფაცხოვრებო ტექნიკით ვაჭრობა (საბითუმო); საყოფაცხოვრებო ტექნიკით ვაჭრობა (საცალო)","","","","","ორშაბათი - კვირა: 10:00 - 18:30","","","","https://www.bia.ge/Company/14577","Subcategory 3279","3279","Direct",""
"93208","ავტო სტარტი","ავტო სტარტი","","426114233","1200, სამცხე-ჯავახეთი, ბორჯომის რაიონი, ბორჯომი, რუსთაველის ქ. 51ა","","+995595509592","","","","https://www.facebook.com/BIA.BusinessInformationAgency/","","","","ავტონაწილებითა და აქსესუარებით ვაჭრობა (საცალო); ავტონაწილებითა და აქსესუარებით ვაჭრობა (საბითუმო); დილერები","","","","","ორშაბათი - კვირა: 09:00 - 19:00","","","","https://www.bia.ge/Company/93208","Subcategory 3279","3279","Direct",""
"41582","გაბ","გაბ","","405072558","0194, თბილისი, ვაკე-საბურთალოს რაიონი, მიცკევიჩის ქ. 12, ბ. 7","","+995579113331","","","","https://www.facebook.com/BIA.BusinessInformationAgency/","","","","დილერები; ლაქ-საღებავებით, წებოებით, სამშენებლო ქიმიით ვაჭრობა","","","","","ორშაბათი - კვირა: 09:00 - 18:00","","","","https://www.bia.ge/Company/41582","Subcategory 3279","3279","Direct",""
"67338","გალერეა თელავი","გალერეა თელავი","","431175435","2200, კახეთი, თელავის რაიონი, თელავი, ალაზნის გამზ. 43","","+995595505009","","","","https://www.facebook.com/Gallery-Telavi-%E1%83%92%E1%83%90%E1%83%9A%E1%83%94%E1%83%A0%E1%83%94%E1%83%90-%E1%83%97%E1%83%94%E1%83%9A%E1%83%90%E1%83%95%E1%83%98-2568792793134354/","","","","დილერები; ავეჯით ვაჭრობა; ავეჯით ვაჭრობა (საოფისე); რბილი ავეჯით ვაჭრობა","","","","","ორშაბათი - კვირა: 10:00 - 18:00","","","","https://www.bia.ge/Company/67338","Subcategory 3279","3279","Direct",""
"65060","ლუდის სამყარო გლდანში","ლუდის სამყარო გლდანში","","438728254","3912, იმერეთი, სამტრედიის რაიონი, კულაში, მეგობრობის ქ. 16","","","","","","https://ka-ge.facebook.com/people/%E1%83%9A%E1%83%A3%E1%83%93%E1%83%98%E1%83%A1-%E1%83%A1%E1%83%90%E1%83%9B%E1%83%A7%E1%83%90%E1%83%A0%E1%83%9D-%E1%83%92%E1%83%9A%E1%83%93%E1%83%90%E1%83%9C%E1%83%A8%E1%83%98/100010748705361","","","","დილერები; ლუდით ვაჭრობა (საცალო)","","","","","ორშაბათი - კვირა: 09:30 - 23:00","","","","https://www.bia.ge/Company/65060","Subcategory 3279","3279","Direct",""
"124429","ქორაშ","ქორაშ","","415112372","4400, სამეგრელო-ზემო სვანეთი, ფოთი, გაგრის ქ. 16, ბ. 13","","+995595320507","","","","https://www.facebook.com/www.embawood.ge","","","","დილერები; ავეჯით ვაჭრობა; ავეჯით ვაჭრობა (საოფისე); სამზარეულოს ავეჯით ვაჭრობა; რბილი ავეჯით ვაჭრობა","","","","","ორშაბათი - კვირა: 10:00 - 18:00","","","","https://www.bia.ge/Company/124429","Subcategory 3279","3279","Direct",""
